instance_name,mean_initial_cost,mean_best_cost,mean_cost_difference,mean_execution_time_ms
prob_10_11s.prob,32.6274,30.2457,2.3817,0.27
prob_10_1n.prob,24.6274,19.1907,5.4367,0.24
prob_10_1o.prob,22.9706,19.0594,3.9111,0.24
prob_10_4ch.prob,27.3137,27.3137,0.0000,0.25
prob_10_4n.prob,19.0711,17.7497,1.3213,0.20
prob_10_7n.prob,16.7279,14.7671,1.9608,0.19
prob_20_1o.prob,120.5513,108.8584,11.6928,0.78
prob_20_4o.prob,48.0122,42.5339,5.4783,0.46
prob_40_11s.prob,305.7716,294.1920,11.5797,1.97
prob_40_1n.prob,406.6661,389.2782,17.3879,2.60
prob_40_1o.prob,333.9138,327.7352,6.1786,2.02
